Movie Name,Genre,Duration,Rating,Vote Counts
Role Play,Romance,1h 40m,5.5,19K
How to Date Billy Walsh,Romance,1h 38m,5.2,N/A
Turtles All the Way Down,Romance,1h 51m,6.6,N/A
Beautiful Wedding,Romance,1h 40m,4.1,N/A
Vulgar,Romance,1h 43m,6.7,104
The Merry Gentlemen,Romance,1h 27m,4.8,10K
Gone Running,Romance,1h 45m,7.1,N/A
City Hunter,Romance,1h 42m,6.3,N/A
Pedro Páramo,Romance,2h 10m,6.3,N/A
The Greatest Hits,Romance,1h 34m,6.2,N/A
This Is Me... Now,Romance,1h 5m,4.1,N/A
This Time Next Year,Romance,1h 56m,5.6,N/A
You Are the Apple of My Eye,Romance,1h 41m,7.6,N/A
Through My Window: Looking at You,Romance,1h 45m,5.4,N/A
Take My Hand,Romance,1h 42m,6.3,282
Romance on the Ranch,Romance,1h 28m,6.8,288
Darkest Miriam,Romance,1h 27m,6.9,29
Hot Frosty,Romance,1h 32m,5.3,14K
Marmalade,Romance,1h 39m,6.2,N/A
High Tide,Romance,1h 41m,6.6,488
Wallbanger,Romance,1h 58m,5.7,641
Three Friends,Romance,1h 57m,6.6,604
Timestalker,Romance,1h 29m,5.5,N/A
The Astronaut Lovers,Romance,1h 56m,7.1,551
A True Gentleman,Romance,1h 50m,4.5,2K
The Silence of Marcos Tremmer,Romance,1h 52m,6.0,128
Cinderella's Curse,Romance,1h 22m,N/A,N/A
Plan B,Romance,1h 30m,5.9,N/A
Premalu,Romance,2h 36m,7.8,19K
Qalb,Romance,2h 27m,6.6,N/A
Amar Singh Chamkila,Romance,2h 25m,7.8,16K
5lbs of Pressure,Romance,1h 51m,5.3,N/A
Freedom,Romance,1h 50m,5.9,N/A
The Family Star,Romance,2h 39m,5.4,N/A
I Can Never Be Yours,Romance,N/A,8.7,123
Sex,Romance,2h 5m,6.7,858
Young Werther,Romance,1h 41m,5.7,203
Love in the Big City,Romance,1h 58m,7.5,N/A
Cinderella's Revenge,Romance,1h 25m,3.7,N/A
Layla,Romance,1h 40m,6.1,333
The Air He Breathes,Romance,1h 46m,6.4,357
The Southern Chronicles,Romance,2h,8.8,N/A
Drained,Romance,1h 47m,4.6,289
Perfect Endings,Romance,1h 40m,5.5,184
The Groomsmen: First Look,Romance,1h 22m,6.1,377
The Lifeguards,Romance,1h 47m,3.9,136
Two to One,Romance,1h 56m,6.0,692
Savi,Romance,2h 6m,6.2,35K
Love,Romance,1h 59m,7.3,268
Now or Never!,Romance,N/A,2.1,17K
Teri Baaton Mein Aisa Uljha Jiya,Romance,2h 21m,6.2,54K
My Name Is Loh Kiwan,Romance,2h 11m,6.7,N/A
Christmas Cowboy,Romance,N/A,6.7,101
Haunted Heart,Romance,2h 8m,4.8,452
Still Fabulous,Romance,1h 32m,4.9,839
The Glassworker,Romance,1h 38m,7.5,N/A
Her Story,Romance,2h 3m,7.7,N/A
Bonjour Tristesse,Romance,1h 50m,6.0,84
The Groomsmen Last Dance,Romance,N/A,6.9,332
Another End,Romance,2h 9m,6.5,704
Música,Romance,1h 31m,6.4,5K
Uranus 2324,Romance,2h 10m,6.5,N/A
Books & Drinks,Romance,1h 34m,6.5,75
Previously Saved Version,Romance,1h 57m,5.5,401
Langue Étrangère,Romance,1h 41m,6.7,477
Intoxicated by Love,Romance,1h 58m,8.5,12K
The Private Eye,Romance,1h 55m,3.6,126
Bau: Artist at War,Romance,2h 10m,7.1,52
Private Tutor,Romance,1h 5m,4.9,183
