Movie Name,Genre,Duration,Rating,Vote Counts
Agrinai,sci-fi,1h 33m,7.9,66
Ascension,sci-fi,1h 37m,3.9,27
Nanoshark,sci-fi,N/A,5.4,18
Pandasaurus,sci-fi,1h 18m,3.6,52
H010N,sci-fi,N/A,N/A,N/A
Peas and Carrots,sci-fi,1h 36m,N/A,N/A
Day of the Clones,sci-fi,1h 38m,4.0,59
The Washer,sci-fi,1h 30m,7.5,9
The Eye of the Salamander,sci-fi,1h 21m,7.9,20
Andromeda 3,sci-fi,N/A,3.4,92
Kuramerukagari,sci-fi,1h 1m,5.8,79
Red vs. Blue: Restoration,sci-fi,1h 25m,5.6,135
I Am Spaceman,sci-fi,N/A,8.1,51
Telekinesis,sci-fi,1h 46m,5.9,59
Dead Dead Demon's Dededede Destruction Zenpen,sci-fi,2h,7.0,137
Milestone,sci-fi,1h 28m,8.2,15
Kade,sci-fi,1h 32m,6.5,15
The Broadcast,sci-fi,23m,N/A,N/A
Killer Kabbage,sci-fi,1h 34m,N/A,N/A
Perspectiva,sci-fi,1h 30m,6.2,96
Yesterday After Tomorrow,sci-fi,2h,5.2,310
Quantum Suicide,sci-fi,1h 27m,5.9,15
Mama,sci-fi,1h 40m,8.5,7
Max Beyond,sci-fi,1h 33m,6.6,17
Spotlight International Film Festival: Best of the Festival - Volume 1,sci-fi,N/A,8.6,6
43 Degrees North,sci-fi,N/A,N/A,N/A
Dead Talk Tales: Volume I,sci-fi,1h 38m,6.6,26
23 Horas,sci-fi,N/A,7.6,17
Piraty galaktiki Barrakuda,sci-fi,1h 32m,4.4,78
Iron Nest of the Moon,sci-fi,1h 10m,7.6,13
Tokusou Sentai Dekaranger 20th: Fireball Booster,sci-fi,50m,7.1,29
Inazuma Eleven Movie: The Legendary Kickoff,sci-fi,N/A,N/A,N/A
The Spaceman,sci-fi,1h 25m,N/A,N/A
Tales Beyond the Galaxy,sci-fi,1h 16m,5.5,146
"The Girl, the Hunter & the Firefly",sci-fi,1h 38m,7.3,19
The Other Side of Infinity,sci-fi,1h 36m,N/A,N/A
Friends of Sophia,sci-fi,25m,5.9,14
Moon Ghost Returns,sci-fi,N/A,6.7,20
Untied,sci-fi,1h 44m,8.0,28
Estación Wadley,sci-fi,1h 36m,N/A,N/A
Lunar Lockdown,sci-fi,1h 39m,5.3,76
ON i Ona,sci-fi,1h 30m,6.6,9
