Movie Name,Genre,Duration,Rating,Vote Counts
Luv You Shankar,Animation,2h,5.8,43
Arne Alligator och djungelkompisarna,Animation,1h 1m,4.6,48
The Ballad of Straw Hat Sam,Animation,45m,9.2,10
The Guardians: The Chosen Ones,Animation,N/A,N/A,N/A
Inazuma Eleven the Movie: Prologue to the New Heroes,Animation,N/A,N/A,N/A
Ya Boy Kongming! Road to Summer Sonia,Animation,1h 59m,7.5,38
Ugly Sweater,Animation,1h 20m,7.1,13
The Car Acrobatic Team Saga,Animation,1h 52m,8.0,9
Code Geass: Rozé of the Recapture: Part 2,Animation,1h 16m,8.1,24
Astra,Animation,1h 20m,6.8,8
Dance with the Finless Promise,Animation,N/A,6.6,19
Our Crazy Love,Animation,1h 26m,N/A,N/A
Bob a Bobek ve filmu: Na stope Mrkvojeda,Animation,1h 20m,8.7,18
Black Butterflies,Animation,N/A,N/A,N/A
The Delegator,Animation,1h 36m,N/A,N/A
Penelope & Everly's Holiday Adventure,Animation,N/A,N/A,N/A
Be Forever Yamato: Rebel 3199: Part 1: Dark Invasion,Animation,50m,7.0,9
Turbozavry. God drakona,Animation,48m,9.2,42
Iris the Movie: Full Energy!!,Animation,N/A,7.6,6
Alex and Mia's Awesome Movie!!,Animation,1h 15m,N/A,N/A
Bizarros Peixes das Fossas Abissais,Animation,1h 15m,8.4,8
Velký Pán,Animation,1h 13m,7.0,8
Naani Krissh's Jai Shree Ram,Animation,N/A,N/A,N/A
Gill,Animation,1h 44m,N/A,N/A
La Familia del Barrio: La Película,Animation,N/A,4.0,6
Day of the Diesels,Animation,1h 40m,N/A,N/A
Terra Incognita 1901,Animation,1h 18m,9.2,13
Le mystère de Waza,Animation,N/A,N/A,N/A
Kittened,Animation,N/A,N/A,N/A
Abá e Sua Banda,Animation,1h 24m,8.0,6
Satan Kingdom Babylon,Animation,1h 17m,N/A,N/A
Genjitsu no Yohane -Sunshine in the Mirror- Movie,Animation,N/A,N/A,N/A
Rabbits Kingdom the Movie,Animation,1h 34m,N/A,N/A
Dante's Divine Comedy,Animation,N/A,N/A,N/A
Cacophony the Animated Movie,Animation,1h 21m,N/A,N/A
Ba Jie,Animation,N/A,N/A,N/A
The Burgger and Frogger Movie,Animation,N/A,N/A,N/A
Bogyó és Babóca 6. - Csengettyuk,Animation,N/A,7.8,13
Bigfoot in Wonderland,Animation,1h 1m,N/A,N/A
Be Forever Yamato: Rebel 3199: Part 2: The Assault of the Burning Sun,Animation,1h 37m,N/A,N/A
Little Richard the Shark,Animation,N/A,N/A,N/A
Ivan Tsarevich i Seryy Volk 6,Animation,N/A,5.6,78
Memory Hotel,Animation,1h 40m,N/A,N/A
Daughters of Monster Magnet,Animation,46m,N/A,N/A
Crazy Train,Animation,1h 35m,N/A,N/A
Let's Go! Anpanman: Baikinman and Lulun,Animation,1h 4m,6.5,7
Kek 2,Animation,1h 38m,N/A,N/A
Robo Puffin,Animation,N/A,N/A,N/A
Thanksgiving in Wonderland,Animation,1h 5m,N/A,N/A
Bartali's Bicycle,Animation,1h 20m,N/A,N/A
Fleischer Cartoons: The Art & Inventions of Max Fleischer,Animation,1h 2m,N/A,N/A
Bread Barbershop: Celeb in Bakery Town,Animation,1h 17m,N/A,N/A
The Puffins: Arctic Games,Animation,N/A,N/A,N/A
King of Prism: Dramatic Prism 1,Animation,1h,N/A,N/A
Rudra & Return of King Makoonga,Animation,45m,N/A,N/A
World of Sathvik and his friends : The Cursed Pumpkin,Animation,48m,N/A,N/A
Eiga Oshiri Tantei Saraba Itoshiki Aibô (Oshiri) yo,Animation,1h 11m,N/A,N/A
2475 Dawn of Revolution,Animation,2h 7m,6.3,152
Eiga Shimajiro Miracle-jima no Nanairo Carnation,Animation,1h 10m,N/A,N/A
The Elf Who Saved Christmas,Animation,1h 2m,N/A,N/A
Symphony of the Eyes,Animation,43m,N/A,N/A
Gujeyeog-eseo sal-a dol-aon dwaeji,Animation,1h 45m,N/A,N/A
Tobia e i colori del mondo,Animation,N/A,N/A,N/A
Skazochnyy patrul. Shou prodolzhayetsya,Animation,1h 5m,7.2,11
Balentes,Animation,1h 10m,N/A,N/A
Becho,Animation,N/A,7.2,10
Code Geass: Rozé of the Recapture: Part 3,Animation,1h 16m,7.7,22
Jin Ling Yu Mao,Animation,1h 37m,N/A,N/A
Fat Chance! the Movie,Animation,N/A,7.6,6
Pleasant Goat and Big Big Wolf: The World Guardians,Animation,1h 36m,7.0,11
"Hey, Tete",Animation,2h 31m,6.4,9
Magic Birds: I magiki pagida,Animation,1h 40m,N/A,N/A
Zuzubalândia: O Filme,Animation,1h,5.6,10
Babaee-ye Ghahreman,Animation,1h 20m,8.5,36
Ninja Doomscrolling,Animation,1h 36m,8.1,102
Sinoalice: The Very Last Story,Animation,1h 14m,N/A,N/A
Code Geass: Rozé of the Recapture: Part 4,Animation,1h 10m,7.0,12
Happylittle Submarine: The Adventure with Dragon,Animation,N/A,N/A,N/A
Isle: Alpha One,Animation,1h 37m,8.4,7
Gintama the Movie 2D: Courtesan of the Nation Arc,Animation,1h 49m,N/A,N/A
Toto's Christmas in Oz,Animation,1h 5m,N/A,N/A
Alla conquista del mondo,Animation,N/A,7.2,26
Tied Up,Animation,N/A,N/A,N/A
Nasreddin Hoca: Zaman Yolcusu - Kadim Medeniyetler,Animation,1h 18m,7.7,12
Harmonie,Animation,1h 14m,N/A,N/A
2054: The Wreckoning,Animation,1h,N/A,N/A
Mission to Pisom,Animation,N/A,N/A,N/A
Nefertiti the Queen of Hearts,Animation,1h 29m,N/A,N/A
Kaptan Pengu ve Arkadaslari 4: Buzuldaki Sir,Animation,N/A,5.4,13
Golmaal Jr: Humshakals Ka Golmaal,Animation,46m,N/A,N/A
Ekip: Siberay - Günes Firtinasi,Animation,1h 12m,6.0,14
Uma Musume: Pretty Derby - Road to the Top,Animation,1h 38m,6.0,6
LUDA,Animation,1h 26m,7.2,6
Elif ve Arkadaslari 2: Perisler,Animation,N/A,N/A,N/A
Boundearth,Animation,1h 48m,N/A,N/A
Bie ba zuo wen dang hui shi er,Animation,1h 29m,7.2,10
Fishtales: The Christmas Whale,Animation,1h 5m,N/A,N/A
Ah My Goddess: Bad Goddess One Wish,Animation,53m,N/A,N/A
Psycho City: The Movie,Animation,1h 57m,N/A,N/A
The Grump's Christmas,Animation,1h 5m,N/A,N/A
Pikmin Forever,Animation,N/A,N/A,N/A
The Barkers Pursuit of Adventure,Animation,N/A,N/A,N/A
There's Something About Knuckles Saga,Animation,46m,N/A,N/A
Terrors,Animation,1h 5m,N/A,N/A
Marvel's Civil War Full Comic Dub Movie,Animation,1h 15m,N/A,N/A
The Redemption of Zack & Heather (Remastered),Animation,N/A,N/A,N/A
The Littlest Angel 2: Lily Has a Secret,Animation,1h 24m,N/A,N/A
Milk Teeth - Essere bambine in Afghanistan,Animation,N/A,N/A,N/A
Criaturas Sorridentes,Animation,N/A,N/A,N/A
The Halloween Shark,Animation,1h 9m,N/A,N/A
Sufunkan no Yell o,Animation,N/A,N/A,N/A
Unhappy 25 Years Little Brat,Animation,N/A,N/A,N/A
The Christmas Shark,Animation,1h 3m,N/A,N/A
Calico Rebellion,Animation,1h 10m,N/A,N/A
Ba Jie Zhi Tian Peng Xia Jie,Animation,N/A,N/A,N/A
Operation Terra Sol -3,Animation,N/A,N/A,N/A
"Minsky, the little helper robot",Animation,6m,N/A,N/A
Sirds likums,Animation,1h 5m,6.8,17
"The Wizard and the Scholar (or, a Rapscallion Runs Amok in Rye)",Animation,1h 3m,N/A,N/A
Let Them Breathe: City on the Ocean,Animation,1h 52m,N/A,N/A
Ramayan the Hero's Path,Animation,N/A,N/A,N/A
Cordélicos,Animation,1h 8m,N/A,N/A
Snow White's Storytime: The Wishing-Stone Stories,Animation,4h 56m,N/A,N/A
Baby Halloween,Animation,1h 6m,N/A,N/A
Mult v kino. Vypusk # 167: Fokus-pokus,Animation,51m,N/A,N/A
Mult v kino. Vypusk # 170: Vsyo luchshee - druzyam,Animation,52m,N/A,N/A
The Photographer,Animation,N/A,N/A,N/A
Papercuts - My Life as an Indie Animator,Animation,1h 27m,N/A,N/A
Mult v kino. Vypusk # 165: Multikov vsegda malo,Animation,49m,N/A,N/A
Love and Friendship,Animation,57m,N/A,N/A
Mult v kino. Vypusk # 168: Idyom na piknik!,Animation,51m,N/A,N/A
Collection Ansorge,Animation,1h 30m,N/A,N/A
Skazochnyy patrul,Animation,1h 15m,N/A,N/A
Diego of the Dead 2,Animation,1h,N/A,N/A
Huang Pi: God of Money,Animation,1h 22m,N/A,N/A
Broken Glass,Animation,N/A,N/A,N/A
People Power,Animation,1h 24m,N/A,N/A
Psycho World Tournament,Animation,N/A,N/A,N/A
Poder Del Pueblo,Animation,1h 24m,N/A,N/A
Nefertiti Regina Inimilor,Animation,1h 29m,N/A,N/A
Blossomele,Animation,53m,N/A,N/A
Gg Bond: Interstellar Action,Animation,N/A,N/A,N/A
Mult v kino. Vypusk # 175,Animation,48m,N/A,N/A
Imam Hussein the Majestic Sacrifice,Animation,N/A,N/A,N/A
Bear Kid: Super Hero,Animation,1h 20m,N/A,N/A
Mei Ren Yu De Xia Tian,Animation,N/A,N/A,N/A
Minderler Adasi: Kilicin Sahibi,Animation,N/A,N/A,N/A
