Movie Name,Genre,Duration,Rating,Vote Counts
Vedaa,Action,2h 25m,6.0,N/A
40 Acres,Action,1h 53m,6.5,101
Overlord: The Sacred Kingdom,Action,2h 15m,7.0,700
Nice Girls,Action,1h 32m,4.2,N/A
Roadkill,Action,1h 30m,3.6,672
Crosspoint,Action,1h 40m,7.3,27
A..M,Action,2h 30m,7.1,N/A
Don't Mess with Grandma,Action,1h 21m,6.1,145
GTMax,Action,1h 40m,5.0,N/A
Invasion,Action,1h 31m,4.8,664
Get Fast,Action,1h 28m,3.6,435
Big Rage,Action,1h 55m,3.6,154
Mura,Action,2h 9m,7.3,N/A
Alangu,Action,2h 11m,8.3,N/A
Black Creek,Action,1h 56m,N/A,N/A
12 to Midnight,Action,1h 36m,3.6,275
Non Negotiable,Action,1h 27m,5.4,N/A
War of the Worlds: Extinction,Action,1h 24m,3.0,177
Mission: Cross,Action,1h 45m,6.1,N/A
How to Rob a Bank,Action,1h 28m,6.6,N/A
Cesium Fallout,Action,2h 16m,6.7,408
Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,Action,2h 54m,8.2,651
The Last Ronin,Action,2h 1m,4.9,226
Toofan,Action,2h 25m,7.1,N/A
12 Gaun,Action,2h 27m,6.3,863
Continental Split,Action,1h 28m,3.5,533
Black Heat,Action,1h 33m,8.9,73
Guntur Kaaram,Action,2h 39m,N/A,N/A
Devil's Knight,Action,1h 30m,5.4,778
Thangalaan,Action,2h 36m,6.6,N/A
The Twisters,Action,1h 26m,N/A,N/A
Bade Miyan Chote Miyan,Action,2h 43m,N/A,N/A
Bionic,Action,1h 50m,4.3,N/A
Yolo,Action,2h 9m,6.9,N/A
High Forces,Action,1h 59m,5.8,504
School of Magical Animals 3,Action,1h 45m,5.9,297
The Last of Us: Immunity,Action,1h 4m,6.3,13
Kingdom 4: Return of the Great General,Action,2h 25m,7.1,N/A
Bachhala Malli,Action,2h 20m,8.3,N/A
Crakk: Jeetega... Toh Jiyegaa,Action,2h 34m,N/A,N/A
UI,Action,2h 15m,6.9,N/A
Escape from the 21st Century,Action,1h 38m,6.5,813
Taken from Rio Bravo,Action,1h 20m,3.0,307
Sector 17,Action,2h 26m,7.4,N/A
Diabel,Action,1h 48m,5.1,202
Art of Eight Limbs,Action,1h 41m,4.0,304
Eye for an Eye 2,Action,1h 30m,6.5,482
The Charisma Killers,Action,1h 41m,6.2,651
Pimpinero: Blood and Oil,Action,2h 1m,5.6,538
Yodha,Action,2h 10m,N/A,N/A
Ryan's World the Movie: Titan Universe Adventure,Action,1h 20m,1.8,644
Dreams,Action,1h 46m,N/A,N/A
Je Jatt Vigarh Gya,Action,2h 12m,5.7,815
Blade of Fury,Action,1h 30m,6.1,112
Ka Whawhai Tonu,Action,1h 55m,7.4,169
The Friendly,Action,1h 41m,8.1,15
Dange,Action,2h 34m,5.4,786
The Firefighters,Action,1h 46m,5.8,151
Alienoid: The Return to the Future,Action,2h 2m,6.5,N/A
Hunting with Tigers,Action,1h 49m,5.6,506
Paradise,Action,1h 23m,6.9,77
Devaki Nandana Vasudeva,Action,2h 8m,8.9,N/A
Deaner '89,Action,1h 30m,5.9,414
Hellhound,Action,1h 43m,4.3,489
Bloodline,Action,1h 20m,9.2,46
Auron Mein Kahan Dum Tha,Action,2h 30m,6.6,40K
Reapers,Action,N/A,8.7,572
Shark Warning,Action,1h 34m,3.4,247
Jathara,Action,2h 9m,6.4,1K
Nothing Even Matters,Action,1h 30m,5.5,72
Snatched,Action,1h 41m,4.9,207
No Time to Spy: A Loud House Movie,Action,1h 21m,6.4,435
Memes & Nightmares,Action,1h 21m,5.7,76
Operation Undead,Action,1h 50m,4.6,360
Fyre Rises,Action,1h 50m,6.5,321
Witch Hunter,Action,1h 20m,5.5,22
Mr. Bachchan,Action,2h 30m,3.6,N/A
Bureau 749,Action,2h 3m,4.1,503
Martin,Action,2h 27m,2.3,36K
The Unbreakable Bunch,Action,N/A,7.1,25
Ayalaan,Action,2h 35m,N/A,N/A
